creator;data de nascimento;data de morte;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;observacoes_place_of_death;confianca_place_of_death;fonte_data_de_nascimento;fonte_data_de_morte;observacoes_datas_biograficas;confianca_datas_biograficas
Jonathan Berger;;;Estados Unidos;Stanford University;37.4275;-122.17;Nova York;;male;https://music.stanford.edu/people/jonathan-berger;alta;;Wikidata;alta;FILE;;40.7130466;-74.0072301;100.0;;;;;"Perfil institucional recente consultado; sem evidência de óbito.";;;;;
Jonathan Monaghan;1986;;Estados Unidos;New York Institute of Technology > University of Maryland;40.8080625 > 38.988055555555555;-73.6033125 > -76.9425;Rockaway Beach, Queens, Nova York, Estados Unidos;;male;bitforms gallery;baixa;;Wikipedia / IMDb;média;FILE;;40.576981;-73.851544;100.0;;;;;"Site autoral recente consultado; sem evidência de óbito.";;Wikidata;;;alta
Jone Vizcaino;;;Espanha;;;;Espanha;;female;;;FILE explicita “País de Origem: Espanha”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;40.22794966;-3.646063105;100.0;;;;;"Perfil profissional recente consultado; sem evidência de óbito.";;;;;
Joost Jordens;;;Países Baixos;Utrecht University of the Arts (HKU);52.0957532;5.1115386;Países Baixos;;male;Wonderspaces — Mike von Rotz & Joost Jordens;média;FILE explicita “País de Origem: Países Baixos / Holanda”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;52.249375293;5.616126398;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;;
Jordão de Oliveira;1900;1980;Brasil;primeiros estudos de desenho com Quintino Marques;-10.9093538;-37.0743967;Aracaju;Rio de Janeiro;male;https://www.guiadasartes.com.br/jordao-de-oliveira/biografia | https://ihgse.org.br/wordpress/jordao-eduardo-de-oliveira-nunes/;média;As fontes abertas disponíveis sustentam os estudos iniciais com Quintino Marques> não localizei nesta rodada fonte aberta robusta para a etapa posterior no Rio.;Wikidata;alta;Museu Histórico Nacional;média;-10.9093538;-37.0743967;100.0;-22.9111111111;-43.2055555556;100.0;https://pge.se.gov.br/artista-do-mes-de-abril-jordao-de-oliveira/;Local de morte refinado de nível de país para cidade com base em fonte biográfica.;alta;;;;
Jorge David Ortiz Trejo;;;México;;;;México;;male;;;FILE explicita “País de Origem: México”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;23.634501;-102.552784;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;;
Jorge F.;;;Brasil;Universidade Anhembi Morumbi;-23.6005;-46.6749;São Paulo, Brasil;;male;FILE;alta;;FilmFreeway;média;FILE;;-23.5486657;-46.6382522;100.0;;;;;"Nome abreviado; identidade não desambiguada com segurança.";;;;;
Jorge Manuel Theocupulus;1578;1631;Espanha;oficina/ateliê de El Greco;41.655298;-83.535717;Toledo;Toledo, Espanha;male;https://en.wikipedia.org/wiki/Jorge_Manuel_Theotoc%C3%B3puli | https://www.museodelprado.es/en/coleccion/autores?search=Theotoc%C3%B3puli%2C+Jorge+Manuel;média;O creator está grafado como 'Theocupulus'> as fontes biográficas abertas usam 'Theotocópuli'.;Wikidata;alta;MASP;média;39.8628;-4.0273;100.0;39.8581;-4.02263;100.0;https://en.wikipedia.org/wiki/Jorge_Manuel_Theotoc%C3%B3puli | https://www.museodelprado.es/aprende/enciclopedia/voz/theotocopuli-jorge-manuel/8e0c14be-6af0-4927-b11c-1c9541d59952;"Coordenadas anteriores remetiam a Toledo, Ohio; ajustadas para Toledo, Espanha, conforme as fontes sobre Jorge Manuel Theotocópuli.";média;Wikidata;Wikidata;;alta
Jorge Paez Vilaró;1922;1994;Uruguai;formação autodidata;;;Montevidéu;Punta del Este;male;https://en.wikipedia.org/wiki/Jorge_P%C3%A1ez_Vilar%C3%B3 | https://arteenloprofundo.blogspot.com/p/jorge-paez-vilaro.html;média;A fonte indica ausência de formação artística formal e aperfeiçoamento por viagens e contatos artísticos.;Wikidata;alta;MAC USP;média;-34.9055557;-56.1852505;100.0;-34.9475;-54.9338;100.0;https://en.wikipedia.org/wiki/Jorge_P%C3%A1ez_Vilar%C3%B3;Registro anterior em Montevideo foi corrigido para Punta del Este conforme biografia consultada.;média;Wikidata;Wikidata;;alta
Jose Gallardo A;;;Colômbia;Universidad Nacional de Colombia;4.6355555555556;-74.082777777778;Medellín, Colômbia;;male;Pueblo Nuevo Netlabel> Elektramusic;média;;CMMAS;média;FILE;;6.2482172;-75.5800345;100.0;;;;;"Nome abreviado; identidade não desambiguada com segurança.";;;;;
Jose Rueda;1926;2023;;Escuela Nacional de Bellas Artes Manuel Belgrano > Escuela Nacional de Bellas Artes Prilidiano Pueyrredón > Escuela Superior de Bellas Artes Ernesto de la Cárcova;-34.63486827098634 > -34.59472222 > -34.61744771945473;-58.37169270382104 > -58.39944444 > -58.3564444;Málaga, Espanha;;male;https://www.hcdn.gob.ar/secgralpres/dcultura/museo/obras/artistas/Rueda-Jose/ | https://artedelaargentina.com/disciplinas/artista/grabado/jose-luis-rueda;alta;A formação aparece em três escolas nacionais de belas-artes, sem datas precisas nas fontes consultadas.;Artabus;média;MAC USP;média;36.7196292;-4.4200007;;;;;;"Biografia recente consultada; sem evidência de óbito.";;Arte de la Argentina;Arte de la Argentina;fonte identifica o artista como José Luis Rueda;média
Josef Albers;1888;1976;Alemanha;Akademie der Bildenden Künste München > Königliche Kunstschule > Kunstgewerbeschule > Bauhaus;48.1531959202723 > 52.516666666667 > 51.4556 > 50.9745;11.5803123911292 > 13.383333333333 > 7.0116 > 11.3291;Bottrop;New Haven;male;https://bauhauskooperation.com/wissen/das-bauhaus/koepfe/biografien/biografie-detail/person-12;média;formação artística e de professor antes da entrada no Bauhaus;Wikidata;alta;MAC USP;alta;51.523693999;6.929939;100.0;41.3082517;-72.9241605;100.0;https://en.wikipedia.org/wiki/Josef_Albers;"Local de morte auditado; coordenadas mantidas para a cidade.";média;;;;
Joseph Tully;;;;;;;;;;;;Formação militar e prática de desenho topográfico mencionadas nas fontes, sem instituição específica identificada.;;;Pinacoteca de São Paulo;baixa;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;;
Josh Mitchell;;;Estados Unidos;Indiana University of Pennsylvania > Design Institute of San Diego > Edinboro University of Pennsylvania;40.617 > 32.880696 > 41.870;-79.16 > -117.167367 > -80.122;Pittsburgh, Pensilvânia, Estados Unidos;;male;StopWatch Gallery;baixa;;StopWatch Gallery & Studio;baixa;FILE;;40.4421676;-79.9949573;100.0;;;;;"Site autoral recente consultado; sem evidência de óbito.";;;;;
Joshua Reynolds;1723;1792;Reino da Grã-Bretanha;Hele's School > aprendiz com Thomas Hudson > estudos de aperfeiçoamento em Roma;50.7184 >  > 41.893055555556;-3.5339 >  > 12.482777777778;Plympton;Londres;male;https://www.britannica.com/biography/Joshua-Reynolds;alta;;https://www.britannica.com/biography/Joshua-Reynolds;alta;MASP;alta;-34.961875705;138.557026373;100.0;51.50740836;-0.127698693;100.0;https://www.britannica.com/biography/Joshua-Reynolds;"A fonte biográfica especifica Leicester Fields; mantido o nível de cidade para compatibilização do topônimo.";alta;https://www.britannica.com/biography/Joshua-Reynolds;https://www.britannica.com/biography/Joshua-Reynolds;;alta
José Agostinho da Motta;1824;1878;;;;;Rio de Janeiro, RJ, Brasil;Rio de Janeiro;male;;;;Enciclopédia Itaú Cultural;alta;;;-22.9014475;-43.1789159;;-22.9111111111;-43.2055555556;100.0;https://enciclopedia.itaucultural.org.br/pessoas/6420-agostinho-da-motta | https://pt.wikipedia.org/wiki/Agostinho_Jos%C3%A9_da_Mota;"Registro do criador aparece invertido em relação à forma consagrada Agostinho José da Motta; local de morte é o Rio de Janeiro.";média;Ulan;Ulan;;alta
José Antônio da Silva;1909;1996;Brasil;;;;Sales Oliveira;São Paulo;male;;;artista autodidata> sem escola formal localizada;Wikidata;alta;MAC USP;média;-20.7700793;-47.8407277;100.0;-23.5486657;-46.6382522;100.0;https://pt.wikipedia.org/wiki/Jos%C3%A9_Ant%C3%B4nio_da_Silva | https://www.portalartes.com.br/hist%C3%B3ria/biografias/pintores-modernos/jos%C3%A9-ant%C3%B4nio-da-silva.html;"Local de morte auditado; coordenadas mantidas para o município.";média;;;;
José Barreto de Menezes;;;;formação artística brasileira;;;;;male;https://www.catalogodasartes.com.br/;média;Sem base aberta robusta para nomear instituição com segurança.;;;Museu Histórico Nacional;baixa;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;;
José Canella Filho;1897;1942;Brasil;;;;São Manuel;São Paulo;male;;;A fonte informa que iniciou o estudo da pintura como autodidata e que nunca teve aulas.;Wikidata;alta;Museu Paulista;alta;-22.7478056;-48.5834111;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata;Wikidata;;alta
José Carlos Martinat;1974;;Peru;Pontificia Universidad Católica del Perú;-12.06944444444444;-77.07944444444445;Lima, Peru;;male;fontes biográficas de referência;média;;Galeria Leme;média;MAC USP;média;-12.04318;-77.02824;;;;;;"atividade recente documentada; sem evidência de óbito";;Wikidata;;;alta
José Cláudio da Silva;1932;2023;Brasil;Atelier Coletivo da Sociedade de Arte Moderna do Recife > Escola de Artesanato do Museu de Arte Moderna de São Paulo > Academia de Belas Artes de Roma;-8.047562 > -23.56111111111111 > 41.8947;-34.877 > -46.65583333333333 > 12.4828;Ipojuca, PE, Brasil;Recife;male;https://enciclopedia.itaucultural.org.br/pessoas/523-jose-claudio;alta;"Participou do Atelier Coletivo da Sociedade de Arte Moderna do Recife; estudou gravura com Lívio Abramo na Escola de Artesanato do MAM/SP; realizou cursos de Modelo Vivo e História da Arte na Academia de Belas Artes de Roma.";https://enciclopedia.itaucultural.org.br/pessoas/523-jose-claudio;alta;MAC USP;média;-8.3981;-35.0637;;-8.0538888889;-34.8808333333;100.0;"Diario de Pernambuco; Prefeitura do Recife";"nota oficial sem local exato; jornal informa falecimento em Recife";média;Enciclopédia Itaú Cultural;Enciclopédia Itaú Cultural;;alta
José Constantino Benedito de Faria Barros;;;;;;;;;;;;Artista documentado como autor de Tocador de Guitarra, obra produzida em Portugal em 1791. Dados biográficos e formação ainda não foram localizados em fontes seguras.;;;Museu Regional São João Del Rey;;;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;;;;;
José Correia de Lima;1814;1857;Brasil;Academia Imperial de Belas Artes > estudos com Debret e Grandjean de Montigny;-22.9071 > ;-43.1829 > ;Rio de Janeiro;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Correia_de_Lima | https://enciclopedia.itaucultural.org.br/pessoas/6718-correia-de-lima;média;;Wikidata;alta;Museu Nacional de Belas Artes;alta;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0;"Escritório de Arte; Catálogo das Artes";fontes secundárias convergentes sobre o local de morte;média;Wikidata;Wikidata;;alta
José de Paula Barros;1883;1926;;aperfeiçoamento artístico em Paris (instituição não identificada na fonte);48.85666666666667;2.352222222222222;Ceará, Brasil;São Luís, Maranhão, Brasil;male;https://agendamaranhao.com.br/2024/10/13/pintor-jose-de-paula-barros-paris-1907/;média;A fonte aberta confirma estudos em Paris, mas não identifica a instituição. A página do Guia das Artes apresenta inconsistência entre o título 'José de Barros de Andrade Dias' e o corpo biográfico, que identifica José de Paula Barros. A formação em Paris foi mantida com sua fonte anterior.;https://www.guiadasartes.com.br/jose-de-barros-de-andrade-dias/biografia;baixa;Museu Histórico Nacional;média;;;;-2.5307;-44.3068;100.0;https://www.guiadasartes.com.br/jose-de-barros-de-andrade-dias/biografia;sem evidência biográfica suficiente para localizar óbito com segurança;baixa;https://www.guiadasartes.com.br/jose-de-barros-de-andrade-dias/biografia;https://www.guiadasartes.com.br/jose-de-barros-de-andrade-dias/biografia;;baixa
José Ferraz de Almeida Júnior;1850;1899;Brasil;Academia Imperial de Belas Artes > École nationale supérieure des beaux-arts;-22.9071 > 48.853997;-43.1829 > 2.333500;Itu;Piracicaba;male;https://pt.wikipedia.org/wiki/Almeida_J%C3%BAnior;média;;Wikidata;alta;Pinacoteca de São Paulo;alta;-23.265697;-47.299124;100.0;-22.724976;-47.6476;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata;Wikidata;;alta
José Gamarra;1934;;Uruguai;School of Fine Arts of Montevideo > Museu de Arte Moderna do Rio de Janeiro (MAM-RJ) > Institute of Fine Arts in Praia Vermelha;-34.905917 > -22.91111111111111 > -22.8625;-56.191311 > -43.20555555555556 > -43.223889;Tacuarembó;;male;https://www.josegamarra.org/en/biography/;média;em 1959 realiza estudos de gravura no Rio com bolsa Itamarati;Wikidata;alta;MAC USP;alta;-31.7305323;-55.9741865;100.0;;;;;"atividade recente documentada; sem evidência de óbito";;;;;
José Hertzer;;;;formação artística brasileira;;;;;male;https://www.catalogodasartes.com.br/;média;Não localizei nesta rodada fonte aberta robusta com nome oficial de escola.;;;Museu Paulista;baixa;;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;;;;;
José Jardim de Araújo;;;;formação artística brasileira;;;;;male;https://www.catalogodasartes.com.br/;média;Dados abertos insuficientes para nomear escola.;;;Museu Histórico Nacional;baixa;;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;;;;;
José Joaquim Monteiro França;1876;1944;Brasil;Liceu de Artes e Ofícios do Rio de Janeiro > Escola Nacional de Belas Artes;-22.908333 > -22.8625055;-43.184722 > -43.2256622;Pindamonhangaba;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/5349-monteiro-franca;alta;Foi aluno de Henrique Bernardelli na Escola Nacional de Belas Artes.;Wikidata;alta;Museu Paulista;baixa;-22.923487;-45.459842;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata;Wikidata;;alta
José Júlio de Sousa Pinto;1856;1939;Portugal;Academia Portuense de Belas Artes > École des Beaux-Arts de Paris;41.15 > 48.853997;-8.610833 > 2.333500;Angra do Heroísmo;Pont-Scorff;male;https://museusoaresdosreis.gov.pt/pintura-de-sousa-pinto-na-bienal-dos-antiquarios-de-paris/;alta;O Museu Nacional Soares dos Reis confirma os estudos na Academia Portuense de Belas Artes e a continuação da formação em Paris.;Wikidata;alta;Museu Nacional de Belas Artes;média;38.708207269709;-27.248750050772;100.0;47.835447703;-3.399192664;100.0;"Wikipedia; e-cultura";local de morte confirmado por fontes secundárias convergentes;média;Wikidata > Ulan;Wikidata > Ulan;;alta
José Leandro de Carvalho;1770;1834;Reino de Portugal;estudos com Leandro Joaquim e Raimundo da Costa e Silva;-22.91111111111111;-43.20555555555556;São João de Itaboraí, RJ, Brasil;Campos dos Goytacazes;male;https://enciclopedia.itaucultural.org.br/pessoas/7180-jose-leandro-de-carvalho | https://www.escritoriodearte.com/artista/jose-leandro-de-carvalho;alta;A formação recuperada é por mestres, não por academia formal.;Enciclopédia Itaú Cultural;alta;Museu Histórico Nacional;alta;-22.7444;-42.8594;;-21.75227;-41.33044;100.0;Enciclopédia Itaú Cultural;corrigido de Rio de Janeiro para Campos dos Goytacazes após auditoria da fonte biográfica;alta;Wikidata;Wikidata;;alta
José Luis Cuevas;1934;2017;México;Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda > Institución de Enseñanza Universitaria;19.35655 >;-99.14015 >;Cidade do México;Cidade do México;male;https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas> https://www.annexgalleries.com/artists/biography/482;média;Estudos interrompidos por doença> data exata da segunda instituição não foi localizada nesta passada.;Wikidata;alta;MAC USP;média;19.430457906;-99.141684761;100.0;19.430457906;-99.141684761;100.0;Gobierno de México;;alta;Ulan;Ulan;;alta
José Malhoa;1855;1933;Portugal;Academia Real de Belas-Artes de Lisboa;38.708042;-9.139016;Caldas da Rainha;Figueiró dos Vinhos;male;https://museu.parlamento.pt/DetalhesAutor?authorId=93 | https://www.mcafigueirodosvinhos.pt/index.php/2013-04-08-14-35-07/os-nossos-artistas/8-noticias/45-biografia-de-jose-malhoa;alta;Fontes institucionais confirmam sua formação e diplomação na Academia Real de Belas-Artes de Lisboa.;Wikidata;alta;MASP;média;39.40752523853;-9.088115679114;100.0;39.925211102631;-8.282068285049;100.0;VisitPortugal;;alta;Ulan;Ulan;;alta
José Maria da Silva Paranhos;1819;1880;;Academia Real dos Guardas Marinhas > Real Academia de Artilharia, Fortificação e Desenho > Escola Militar;38.680278 > -22.903542 > -22.9560798;-9.158333 > -43.168381 > -43.1662774;Salvador, BA, Brasil;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_da_Silva_Paranhos;média;;FUNAG;alta;Museu Paulista;alta;-12.9641527;-38.5058208;;-22.9111111111;-43.2055555556;100.0;FUNAG;;alta;;;;
José Maria de Medeiros;1849;1925;Brasil;Liceu de Artes e Ofícios > Academia Imperial de Belas Artes;-22.91111111111111 > -22.9071;-43.20555555555556 > -43.1829;Açores, Portugal;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_de_Medeiros;média;A Enciclopédia Itaú Cultural também registra Antônio de Souza Lobo como mestre.;Enciclopédia Itaú Cultural;alta;Museu Nacional de Belas Artes;alta;37.7412488;-25.6755944;;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata;Wikidata;;alta
José Maria dos Reis Júnior;1903;1985;Brasil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Uberaba, MG, Brasil;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/7497-reis-junior;alta;O verbete também informa estudos de desenho com Modesto Brocos e pintura com Rodolfo Amoedo.;Enciclopédia Itaú Cultural;alta;Museu Histórico Nacional;alta;-19.7472;-47.9392;;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata;Wikidata;;alta
José Mauro de Vasconcelos;1920;1984;Brasil;Faculdade de Medicina da capital potiguar;-5.795;-35.208889;Rio de Janeiro;São Paulo;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Mauro_de_Vasconcelos | https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334;média;A fonte não nomeia a faculdade de medicina nem a instituição espanhola> deixado como descrição verificável.;Wikidata;alta;MAC USP;baixa;-22.9014475;-43.1789159;100.0;-23.5503944444;-46.6339472222;100.0;"Prefeitura de São Paulo; Wikipedia";fonte institucional confirma falecimento em São Paulo, sem detalhamento intramunicipal;média;Enciclopédia Itaú Cultural;Enciclopédia Itaú Cultural;;alta
José Pancetti;1902;1958;Brasil;Núcleo Bernardelli;-22.8625055;-43.2256622;Campinas;Rio de Janeiro;male;Itaú Cultural> MAM Rio;alta;Aprendizado inicial autodidata> em 1933 ingressa no Núcleo Bernardelli e recebe orientação de Bruno Lechowski.;Wikidata;alta;MAC USP;alta;-22.9073702;-47.0628996;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata > Ulan;Wikidata > Ulan;;alta
José Pedro Costigliolo;1902;1985;Uruguai;;;;Montevidéu;Montevidéu;male;;;;https://www.wikidata.org/wiki/Q20431755;alta;MAC USP;alta;-34.9055557;-56.1852505;100.0;-34.9058333333;-56.1913888889;100.0;Museo Nacional de Artes Visuales;;alta;Wikidata;Wikidata;;alta
José Pinelo Llull;1861;1922;Espanha;Escuela de Bellas Artes de Sevilla > estudos com Eduardo Cano > estudos com Villegas em Roma;37.3877 > 41.893055555556 >;-5.99106 > 12.482777777778 >;Província de Cádiz;Sevilha;male;https://es.wikipedia.org/wiki/Jos%C3%A9_Pinelo_Llull | https://es.hispanopedia.com/wiki/Jos%C3%A9_Pinelo_Llull;média;;Wikidata;alta;Museu Histórico Nacional;alta;36.5333;-6.2833;84.82;37.38264;-5.9962951;100.0;"Wikipedia; Wikidata";;média;Wikidata > Ulan;Wikidata > Ulan;;alta
José Roberto Aguilar;1941;;Brasil;;;;São Paulo;;male;;;artista autodidata> sem escola formal localizada;Wikidata;alta;MAC USP;alta;-23.5486657;-46.6382522;100.0;;;;;"atividade recente documentada; sem evidência de óbito";;Wikidata;;;alta
José Rodrigues;1828;1887;Reino de Portugal;Escola Superior de Belas-Artes do Porto;41.15;-8.610833;Lisboa;;male;https://sigarra.up.pt/up/pt/p/antigos%20estudantes%20ilustres%20-%20jos%C3%A9%20rodrigues | https://m.porto.ucp.pt/sites/default/files/files/Leilao/CV_JoseRodrigues.pdf;alta;A Universidade do Porto e a Universidade Católica Portuguesa confirmam sua formação em escultura na Escola Superior de Belas-Artes do Porto.;Wikidata;alta;Museu Paulista;média;38.7070085;-9.1356407;100.0;;;;;"homônimo não desambiguado; dado prévio de óbito removido por conflito com a identificação biográfica do registro";;Museu Montepio;Museu Montepio;;alta
José Simeão de Oliveira;1838;1893;Brasil;Escola Militar da Praia Vermelha;-22.9560798;-43.1662774;Rio Grande;Nova Iorque;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Sime%C3%A3o_de_Oliveira;média;A fonte documenta formação militar e em ciências físicas e matemáticas.;Wikidata;alta;Museu Paulista;alta;-32.0350;-52.0986;100.0;40.71427;-74.00597;100.0;"MAPA; Wikipedia";;média;Wikidata;Wikidata;;alta
José Spaniol;1960;;Brasil;European Ceramic Workcentre (EKWC) > Fundação Armando Álvares Penteado (FAAP) > Academia de Artes de Düsseldorf > Universidade de São Paulo (USP);51.5833 > -23.5450155 > 51.2283 > -23.561399;5.2 > -46.6630802 > 6.7733 > -46.730789;São Luiz Gonzaga;;male;https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol > https://www.escavador.com/sobre/582352/jose-paiani-spaniol;alta;;Wikidata;alta;MAC USP;alta;-28.4078903;-54.9614629;100.0;;;;;"atividade recente documentada; sem evidência de óbito";;Wikidata > Ulan;;;alta
José Wasth Rodrigues;1891;1957;Brasil;estudos com Oscar Pereira da Silva > Académie Julian > École des Beaux-Arts de Paris;-23.5505 > 48.8567 > 48.8567;-46.6333 > 2.3522 > 2.3522;São Paulo;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Wasth_Rodrigues;média;"A fonte localizada confirma estudos com Oscar Pereira da Silva e, em Paris, na Académie Julian e na École des Beaux-Arts; a Escola Superior de Belas-Artes do Porto não foi confirmada.";Wikidata;alta;Museu Paulista;média;-23.5486657;-46.6382522;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;;alta;;;;
João Abel Manta;1928;2026;Portugal;Escola Superior de Belas-Artes de Lisboa;38.7223;-9.1393;Lisboa;Lisboa;male;https://www.cnc.pt/joao-abel-manta-1928-2026/ | https://repositorio.ulisboa.pt/entities/publication/0ea3f4bc-a517-4af4-b5c4-8cc099e12a8d;alta;"Fontes institucionais confirmam a formação em Arquitetura na Escola Superior de Belas-Artes de Lisboa; a referência genérica à University of Lisbon foi removida.";Wikidata;alta;MAC USP;média;38.7070085;-9.1356407;100.0;38.7070085;-9.1356407;100.0;"Lusa; Jornal de Notícias";"falecimento noticiado em maio de 2026; cidade confirmada por fontes de imprensa portuguesas";média;Wikidata > Ulan;Wikidata > Ulan;;alta
João Ayres;1921;2001;;Escola de Belas Artes de Lisboa > Escola Superior de Belas-Artes do Porto;38.708042 > 41.15;-9.139016 > -8.610833;Lisboa, Portugal;Sintra;male;https://www.cps.pt/pt/artistas/joao-ayres;alta;A fonte fala em estudos de arquitetura nas duas escolas.;Artistas CPS;média;MAC USP;alta;38.7070085;-9.1356407;;38.7984769444;-9.3880861111;100.0;"Artistas CPS; Assembleia Municipal de Lisboa";"fontes indicam permanência em Sintra até a morte em 2001; topônimo normalizado para a sede municipal";média;Ulan;Ulan;;alta
João Batista Bordon;1882;1917;Brasil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Rio de Janeiro, RJ, Brasil;Madri;male;https://enciclopedia.itaucultural.org.br/pessoas/6646-joao-batista-bordon;alta;A fonte indica condição de aluno livre e mestres Baptista da Costa e Zeferino da Costa.;Enciclopédia Itaú Cultural;alta;Museu Histórico Nacional;alta;-22.9014475;-43.1789159;;40.4166909;-3.7003454;100.0;Enciclopédia Itaú Cultural;;alta;Wikidata;Wikidata;;alta
João Batista da Costa;1865;1926;Brasil;Asilo dos Meninos Desvalidos > Academia Imperial de Belas Artes > Académie Julian;-22.91111111111111 > -22.9071 > 48.871111;-43.20555555555556 > -43.1829 > 2.341667;Itaguaí;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jo%C3%A3o_Batista_da_Costa | https://www.guiadasartes.com.br/baptista-da-costa/obras-e-biografia;média;;Wikidata;alta;Pinacoteca de São Paulo;alta;-22.866538;-43.777224;100.0;-22.9014475;-43.1789159;100.0;Enciclopédia Itaú Cultural;;alta;Ulan;Ulan;;alta
João Calixto;1922;1994;Brasil;Escola de Belas Artes de São Paulo > curso de história da estética no Museu de Arte de São Paulo > curso de serigrafia no Sesi;-23.56111111111111 >  >;-46.65583333333333 >  >;São Paulo;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/2001-joao-calixto;alta;;https://enciclopedia.itaucultural.org.br/pessoas/2001-joao-calixto;alta;;alta;-23.5486657;-46.6382522;100.0;-23.5503944444;-46.6339472222;100.0;"MAC USP; Enciclopédia Itaú Cultural";;alta;;;;
João Câmara Filho;1944;;Brasil;Universidade Federal de Pernambuco (UFPE) > curso livre da Escola de Belas Artes da Universidade Federal de Pernambuco;-8.051733 > -8.0517328;-34.950716 > -34.9507155;João Pessoa;;male;https://acervo.macrs.rs.gov.br/artistas-macrs/joao-camara/;alta;;Wikidata;alta;MAC USP;alta;-7.1152478;-34.8610531;100.0;;;;;"atividade recente documentada; sem evidência de óbito";;Wikidata;;;alta
João Francisco Lopes Rodrigues;1825;1893;Brasil;Aula Pública de Desenho da Bahia > estudos com José Rodrigues Nunes > assistência a Teófilo de Jesus;-12.98305555555556 >  >;-38.49277777777777 >  >;Salvador;Salvador;male;https://pt.wikipedia.org/wiki/Jo%C3%A3o_Francisco_Lopes_Rodrigues | https://enciclopedia.itaucultural.org.br/pessoas/7099-joao-francisco-lopes-rodrigues;média;A formação aparece pela Aula Pública e por mestres, sem cronologia fechada na fonte aberta.;Wikidata;alta;Museu Histórico Nacional;alta;-12.9641527;-38.5058208;100.0;-12.9641527;-38.5058208;100.0;Galeria Brasiliana;;média;Wikidata;Wikidata;;alta
João Garboggni Quaglia;1928;2014;;estudos de litogravura com Mário Cravo > Escola Nacional de Belas Artes > Associação Brasileira de Desenho > aperfeiçoamento em litogravura com Darel Valença Lins;-12.9714 > -22.9068 > -22.9068 > -22.9068;-38.5014 > -43.1729 > -43.1729 > -43.1729;Salvador, BA, Brasil;São João del-Rei;male;https://enciclopedia.itaucultural.org.br/pessoas/2822-quaglia | https://www.guiadasartes.com.br/joao-quaglia/quem-foi;alta;"A formação foi corrigida para o percurso documentado em Salvador e no Rio de Janeiro; o Liceu de Artes e Ofícios de São Paulo não foi confirmado.";Enciclopédia Itaú Cultural;alta;MAC USP;média;-12.9641527;-38.5058208;;-21.1358333333;-44.2619444444;100.0;https://enciclopedia.itaucultural.org.br/pessoas/2822-quaglia;local de morte sustentado por fonte secundária especializada em mercado de arte;alta;https://enciclopedia.itaucultural.org.br/pessoas/2822-quaglia;https://enciclopedia.itaucultural.org.br/pessoas/2822-quaglia;;alta
João Lopes Maciel (atribuição);;;;;;;;;;;;autoria atribuída/incerta> formação não localizada com segurança;;;Museu da Inconfidência;;;;;;;;;"registro de atribuição; local de morte não preenchido sem autoria seguramente estabelecida";;;;;
