creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death
Ignacio Platas;Uruguay;;;;Montevideo, Uruguay;;;male;;;;site pessoal Once11;médio;FILE;;;;;-34.9055557;-56.1852505;100.0;;;
Igor Bahia;Brazil;"Escola de Tecnologia Spectaculu; Escola de Artes Visuais do Parque Lage";"-22.91111111111111; -22.9606";"-43.20555555555556; -43.212";Rio de Janeiro;;;male;FILE Festival;médio;;;;FILE;;;;;-22.9014475;-43.1789159;100.0;;;
Igor Imhoff;Italy;Accademia di Belle Arti di Foggia;41.46189;15.543579;Italy;;;male;animazioni.net — Igor Imhoff;alto;;Ignorarte (biografia);médio;FILE;;;;;42.83333;12.83333;100.0;;;
Igorъ V;Russia;;;;Rostov-on-Don, Russia;;;male;;;;FILE Festival (obra Death Day) + Wikidata;médio;FILE;;;;;47.2230368;39.7213763;100.0;;;
Illestpreacha;Canada;;;;Canada;;;male;;;"FILE explicita “País de Origem: Canadá”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;;;;;;;
Ion Oana Potecasu;;;;;;;;;;;formação não localizada com segurança;;;"MAC; outros; MAC USP";;;;;;;;;;
Iran do Espírito Santo;Brazil;"Fundação Armando Alvares Penteado; Fundação Armando Álvares Penteado (FAAP)";"-23.5450155; -23.5450155";"-46.6630802; -46.6630802";Mococa;;;male;https://www.escritoriodearte.com/artista/iran-do-espirito-santo;;licenciatura em artes plásticas;;;"MAC; outros; MAC USP";São Paulo, Brasil;1986;https://www.escritoriodearte.com/artista/iran-do-espirito-santo;alta;-21.4961738;-47.0130645;100.0;;;
Isabelle Arvers;France;"Institute of Political Studies in Aix-en-Provence; Paris 8 University";48.85416666666666;2.328611111111111;Paris, France;;;female;biografia oficial / Wikipédia;médio;;site oficial da artista / Wikipédia;alto;FILE;;;;;48.856372814;2.352529617;100.0;;;
Ismael Nery;Brazil;"Académie Julian; Escola Nacional de Belas Artes";"48.871111111111; -22.8625055";"2.3416666666667; -43.2256622";Belém;;Rio de Janeiro;male;"Wikipédia; eBiografia";;;;;"MAC; outros; MAC USP";"Rio de Janeiro, Brasil; Paris, França";"1917; 1920";"Wikipédia; eBiografia";media;-1.4549817;-48.502273;100.0;-22.9014475;-43.1789159;100.0
Ismênia Coaracy;Brazil;"Escola de Artesanato do Museu de Arte Moderna de São Paulo (MAM/SP); estudos com Wolfgang Pfeiffer, Paulo Duarte e André Osze";-23.588229;-46.655328;Sertãozinho;;São Paulo;female;https://enciclopedia.itaucultural.org.br/pessoas/2135-ismenia-coaracy | https://acervo.margs.rs.gov.br/artistas/ismenia-coaracy/;;A fonte também indica início autodidata por volta de 1946.;;;"MAC; outros; MAC USP";São Paulo;"1956-1958; 1956; c.1960";https://enciclopedia.itaucultural.org.br/pessoas/2135-ismenia-coaracy | https://acervo.margs.rs.gov.br/artistas/ismenia-coaracy/;alta;-21.1431103;-48.0069814;100.0;-23.5486657;-46.6382522;100.0
Issey Takahashi;Japan;Horikoshi High School;35.701111;139.6765;Tokyo;;;male;;;;;;FILE;;;;;35.68945633;139.69171609;100.0;;;
Ivald Granato;Brazil;"estudos de pintura com Robert Newman; Escola de Belas Artes";"; ";"; ";Campos dos Goytacazes;;São Paulo;male;https://www.escritoriodearte.com/artista/ivald-granato;;;;;"MAC; outros; MAC USP";"Rio de Janeiro, Brasil; Rio de Janeiro, Brasil";"1966; breve período após 1966";https://www.escritoriodearte.com/artista/ivald-granato;media;-21.75227;-41.33044;100.0;-23.5486657;-46.6382522;100.0
Ivan Dixon;United States;North Carolina Central University;35.97645;-78.90092;New York City;;Charlotte;male;;;;;;FILE;;;;;40.7130466;-74.0072301;100.0;35.2237867;-80.8411413;100.0
Ivan Serpa;;;;;;;;;;;;;;;;;;;;;;;;
Ivar Veermäe;Estonia;"Estonian Academy of Arts; Weissensee Kunsthochschule Berlin";"59; 52.5581";"26; 13.4393";Tallinn;;;male;site oficial do artista / weissensee kunsthochschule berlin;alto;;;;FILE;;;;;59.43243767;24.744065678;100.0;;;
Ivonaldo;;;;;;;;;;;;;;;;;;;;;;;;
J. Janssens | Martinho (padre);;;;;;;;;;;"autoria múltipla/ambígua; formação não localizada com segurança";;;"outros; Museu da Inconfidência";;;;;;;;;;
J. M. D'Avila;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
J. M. W. Turner;Kingdom of Great Britain;"Royal Academy of Arts; Royal Academy Schools; formação com o desenhista Thomas Malton";51.507222222222;-0.1275;Maiden Lane;St Paul's Cathedral;Cheyne Walk;male;https://en.wikipedia.org/wiki/J._M._W._Turner | https://www.tate.org.uk/art/artists/joseph-mallord-william-turner-558;;;;;"outros; MASP";Londres;a partir de 1789;https://en.wikipedia.org/wiki/J._M._W._Turner;alta;37.9082169;-122.3052102;100.0;32.4268056;-88.1939138;76.0
J. Stewart;;;;;;;;;;;;;;;;;;;;;;;;
Jacopo Tintoretto;Republic of Venice;"brevíssimo aprendizado na oficina de Ticiano; estudos de anatomia por observação e desenho";"; ";"; ";Venice;Madonna dell'Orto;Venice;male;https://www.scuolagrandesanrocco.org/home-en/tintoretto/ | https://en.wikipedia.org/wiki/Tintoretto;;A formação documentada é parcialmente tradicional/atelier e parcialmente autodirigida.;;;"outros; MASP";Veneza;sem datas exatas na fonte;;baixa;45.434608;12.338913;100.0;45.434608;12.338913;100.0
Jagobo Pan;;Liceu de Barcelona;41.3825;2.1769444444444;;;;;Campos do Jordão Cultura;;instituição identificada, datas não localizadas;;;"MAC; outros; MAC USP";Barcelona, Espanha;;;media;;;;;;
Jaime Prades;Brazil;"Festival de Inverno de Ouro Preto; Ateliê 76; Escola Contemporânea de Artes";"-20.385277777778; 38.708042";"-43.503611111111; -9.139016";Madrid;;;male;https://jaimeprades.art.br/?area=5&item=59&lang=_en&sec=404 | https://zupi.space/acervo/artistas/jaime-prades/;;Inclui cursos livres e formação não universitária, como descritos pelo próprio artista.;;;"MAC; outros; MAC USP";"Ouro Preto; São Paulo";"1973; 1975; 1977-1978";https://jaimeprades.art.br/?area=5&item=59&lang=_en&sec=404 | https://zupi.space/acervo/artistas/jaime-prades/;alta;40.4166909;-3.7003454;100.0;;;
Jake Fried;United States;"Rhode Island School of Design (summer classes); Maryland Institute College of Art; Boston University";"41.825833333333; 39.3056; 42.34888888888889";"-71.407777777778; -76.6206; -71.10027777777778";United States;;;male;LBBOnline (entrevista com o artista);médio;;FILE Festival (País de Origem);alto;FILE;;;;;;;;;;
Jambonbill;France;;;;;;;male;;;nome artístico não desambiguado com segurança;;;FILE;;;;;;;;;;
James Kudo;;"Faculdade de Belas Artes de São Paulo; Art Students League";-23.583688;-46.633917;;;;;https://jojoscope.net/2011/08/27/as-topofilias-de-james-kudo/ | https://olharincomum.webnode.page/artistas/james-kudo/;;;;;"MAC; outros; MAC USP";"São Paulo (SP); Nova York (EUA)";"1990; 1992-1994";https://jojoscope.net/2011/08/27/as-topofilias-de-james-kudo/ | https://olharincomum.webnode.page/artistas/james-kudo/;alta;;;;;;
James Zanoni;;;;;;;;male;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Jamie Tucker;Canada;;;;;;;male;;;homônimo não desambiguado com segurança;;;FILE;;;;;;;;;;
Jan de Baen;Dutch Republic;"Haagsche Teekenacademie; lições com o tio Hinderk Pyman; aluno de Jacob Adriaensz Backer";52.16;4.49;Haarlem;;The Hague;male;https://en.wikipedia.org/wiki/Jan_de_Baen;;;;;"outros; MASP";"Emden; Amsterdam";1645-1648;https://en.wikipedia.org/wiki/Jan_de_Baen;alta;52.381044553;4.642828229;100.0;52.069248385;4.296715483;100.0
Jan Goldfuß;Germany;"Bauhaus-University Weimar; Academy of Media Arts Cologne";"50.9745; 50.93475582568144";"11.3291; 6.962159950772375";Erlangen, Germany;;;male;FILE Festival | site do artista;médio;;site do artista / Frischzelle Festival;alto;FILE;;;;;49.595132999;11.00498;100.0;;;
Jan Lebensztejn;;;;;;;;;;;;;;;;;;;;;;;;
Jan Rothuizen;Kingdom of the Netherlands;"Gerrit Rietveld Academie; De Ateliers";"52.3413;";"4.86;";Amsterdam;;;male;site oficial do artista / Kunstinstituut Melly;alto;;;;FILE;;;;;52.361524688;4.890870311;100.0;;;
Jan van Kessel the Elder;Habsburg Netherlands;"estudos com Simon de Vos; formação complementar com o pai e com Jan Brueghel the Younger";"; ";"; ";Antwerp;;Antwerp;male;"https://en.wikipedia.org/wiki/Jan_van_Kessel_the_Elder | https://www.nationalgallery.org.uk/artists/jan-van-kessel-the-elder; https://en.wikipedia.org/wiki/Jan_van_Kessel_the_Elder | https://www.nationalgalleries.org/art-and-artists/artists/jan-van-kessel";;A formação é descrita por mestres e parentes artistas, não por escola única.;;;"outros; Museu Nacional de Belas Artes";Antuérpia;"a partir dos 9 anos; sem datas completas na fonte";;media;51.25942418;4.371799938;100.0;51.25942418;4.371799938;100.0
Jandyra Waters;;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;;;;female;fontes biográficas de referência;;instituição identificada em fontes sumárias;;;"MAC; outros; MAC USP";Rio de Janeiro, Brasil;s.d.;fontes biográficas de referência;baixa;;;;;;
Janice T. Searleman;United States;"University of Massachusetts; State University of New York at Stony Brook";"42.36027777777777; 40.9173205";"-71.05777777777777; -73.1245537";United States;;;female;ISEA Symposium Archives;médio;"FILE explicita “País de Origem: Estados Unidos”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;;;;;;;
Janusz Brudniewicz;Poland;;;;Poland;;;male;;;;camembertelectrique.com;media;FILE;;;;;52.123790154;19.398768986;100.0;;;
Jarbas Juarez Antunes;;Instituto de Artes da UFRGS;-30.0292;-51.2233;;;;;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu da Inconfidência";Porto Alegre, Brasil;1960s;fontes biográficas de referência;baixa;;;;;;
Jasmijn Lootens;Belgium;"LUCA School of Arts; Conservatory of Amsterdam";52.375833;4.908056;Waregem, Belgium;;;female;docARTES;alto;;Japan Media Arts Festival;alta;FILE;;;;;50.880619097;3.40249726;100.0;;;
Jayme Batista Paiva;;;;;;;;;https://www.dgabc.com.br/Noticia/3706442/jayme-paiva-o-leonardo-do-curuca;;A fonte qualifica o artista explicitamente como autodidata.;;;"MAC; outros; MAC USP";Formação autodidata;;;media;;;;;;
Jean Dewasne;France;École des Beaux-Arts;48.85666666666667;2.333611111111112;Hellemmes;;20th arrondissement of Paris;male;https://jeandewasne.com/en/biography/;;A biografia informa estudo na seção de arquitetura e frequência aos ateliês de Montparnasse.;;;"MAC; outros; MAC USP";Paris, França;1939–c. 1941;https://jeandewasne.com/en/biography/;media;50.62939;3.10981;100.0;48.8650998;2.3989541;100.0
Jean Deyrolle;France;;;;Nogent-sur-Marne;;Toulon;male;;;;;;"MAC; outros";;;;;48.839192987;2.491513008;100.0;43.12442;5.92836;100.0
Jean Joseph Bilfeldt;France;formação militar francesa;;;Avignon;;Paris;male;https://www.brasilianaiconografica.art.br/autores/19939/jean-joseph-bilfeldt;;"Autor identificado sobretudo como militar e desenhista viajante; sem escola nomeada na fonte aberta consultada.";;;"outros; Pinacoteca de São Paulo";França;;;baixa;43.949315226;4.805311547;100.0;48.856372814;2.352529617;100.0
Jean Le Moal;France;"École des Beaux-Arts de Lyon; École nationale supérieure des arts décoratifs; Académie Ranson";"45.768055555556; 48.85666666666667; 48.85666666666667";"4.8172222222222; 2.352222222222222; 2.352222222222222";Authon-du-Perche;;Chilly-Mazarin;male;https://en.wikipedia.org/wiki/Jean_Le_Moal;;A biografia consultada traz a sequência das três formações, com intervalo completo explicitado para a Académie Ranson.;;;"MAC; outros; MAC USP";"Lyon, França; Paris, França; Paris, França";"1926; 1929; 1935–1936";https://en.wikipedia.org/wiki/Jean_Le_Moal;media;48.194954416;0.896784562;100.0;48.702512182;2.312513276;100.0
Jean Metzinger;France;École des Beaux-Arts de Nantes;47.206475;-1.560904;Nantes;;Paris;male;Wikipedia;;Também estudou pintura com Hippolyte Touront antes da mudança para Paris.;;;"MAC; outros; MAC USP";Nantes, França;c. 1900–1903;Wikipedia;media;47.21838348;-1.554317317;100.0;48.856372814;2.352529617;100.0
Jean Rustin;France;"Beaux-Arts de Paris; École des Beaux-Arts; ateliê de Nicolas Untersteller";48.85666666666667;2.333611111111112;Montigny-lès-Metz;;20th arrondissement of Paris;male;https://en.wikipedia.org/wiki/Jean_Rustin | https://www.jean-rustin.com/blank-2;;;;;"MAC; outros; MAC USP";Paris;a partir de 1947;https://www.jean-rustin.com/blank-2 | https://en.wikipedia.org/wiki/Jean_Rustin;alta;49.099881109;6.153103866;100.0;48.8650998;2.3989541;100.0
Jean-Auguste-Dominique Ingres;France;"Beaux-Arts de Paris; Académie de Toulouse; ateliê de Jacques-Louis David; École des Beaux-Arts";"43.60444444444445; 48.85666666666667";"1.443333333333333; 2.333611111111112";Montauban;Père Lachaise Cemetery;Paris;male;https://pt.wikipedia.org/wiki/Jean-Auguste_Dominique_Ingres;;;;;"outros; MASP";"Toulouse; Paris";"1791-1796; 1797-1799";https://pt.wikipedia.org/wiki/Jean-Auguste_Dominique_Ingres;alta;44.016121253;1.35265774;100.0;48.856372814;2.352529617;100.0
Jean-Baptiste Camille Corot;France;"Lycée Pierre-Corneille; estudos com Achille-Etna Michallon e Jean-Victor Bertin; formação de paisagem na viagem de estudos à Itália";"49.445311; ;";"1.100213; ;";Paris;Père Lachaise Cemetery;Paris;male;https://www.nationalgallery.org.uk/artists/jean-baptiste-camille-corot | https://en.wikipedia.org/wiki/Jean-Baptiste-Camille_Corot;;"Sem academia formal nomeada nas fontes abertas recuperadas; mantidos mestres e viagem formativa.";;;"outros; MASP";"Paris; Itália";1825-1828;https://www.nationalgallery.org.uk/artists/jean-baptiste-camille-corot | https://en.wikipedia.org/wiki/Jean-Baptiste-Camille_Corot;media;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Jean-Baptiste Courtois;;École des Beaux-Arts de Paris;48.85680555555555;2.333277777777778;Saint-Hippolyte;;;male;https://data.bnf.fr/fr/14916564/jean-baptiste_courtois/;;"A fonte aberta biográfica é sucinta; cronologia não identificada.";;;"outros; Museu Histórico Nacional";Paris;;;media;45.92969;-74.025851;100.0;;;
Jean-Baptiste Debret;France;"Lycée Louis-le-Grand; École des Beaux-Arts / ateliê de Jacques-Louis David";48.85666666666667;2.333611111111112;Paris;Montmartre Cemetery;Paris;male;fontes biográficas de referência;;registro combinando escola e formação em ateliê;;;"outros; Museu Nacional de Belas Artes";Paris, França;fim do século XVIII;fontes biográficas de referência;media;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Jean-Baptiste Marie Pierre;France;"Académie royale de peinture et de sculpture; aluno de Charles-Joseph Natoire; bolsa/estadia em Roma";41.893055555556;12.482777777778;Paris;;Paris;male;https://en.wikipedia.org/wiki/Jean-Baptiste_Marie_Pierre | https://sammlung.staedelmuseum.de/en/person/pierre-jean-baptiste-marie;;;;;"outros; Museu Nacional de Belas Artes";"Paris; Roma";"1732; 1734-1740";https://en.wikipedia.org/wiki/Jean-Baptiste_Marie_Pierre | https://sammlung.staedelmuseum.de/en/person/pierre-jean-baptiste-marie;alta;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Jean-Baptiste Olive;France;École des beaux-arts de Marseille;43.2287;5.43485;Marseille;Saint-Ouen Cemetery;Paris;male;https://en.wikipedia.org/wiki/Jean-Baptiste_Olive;;;;;"outros; MASP";Marselha;;;media;43.296606916;5.369866968;100.0;48.856372814;2.352529617;100.0
Jean-Baptiste Pater;France;"formação inicial com o pai Antoine Pater; aluno de Antoine Watteau";"; ";"; ";Valenciennes;;Paris;male;https://en.wikipedia.org/wiki/Jean-Baptiste_Pater | https://www.britannica.com/biography/Jean-Baptiste-Pater;;Não foi localizada escola formal nomeada além da formação em oficina.;;;"outros; MASP";"Valenciennes; Paris";;;media;50.357856469;3.524197715;100.0;48.856372814;2.352529617;100.0
Jean-Baptiste-Siméon Chardin;France;"Académie de Saint-Luc; aprendizagens com Pierre-Jacques Cazes e Noël-Nicolas Coypel";48.85666666666667;2.352222222222222;Paris;;Paris;male;https://en.wikipedia.org/wiki/Jean_Sim%C3%A9on_Chardin | https://www.britannica.com/biography/Jean-Baptiste-Simeon-Chardin;;;;;"outros; MASP";Paris;até 1724;https://en.wikipedia.org/wiki/Jean_Sim%C3%A9on_Chardin;alta;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Jean-Frédéric Bosset de Luze;Switzerland;formação militar e de desenho técnico suíço;;;Neuchâtel;;Neuchâtel;male;https://www.brasilianaiconografica.art.br/autores/19859/jean-frederic-bosset-de-luze;;"Autor identificado sobretudo por perfil militar-viajante; sem escola formal nomeada na fonte aberta consultada.";;;"outros; Pinacoteca de São Paulo";Suíça;;;baixa;46.993851622;6.93104046;100.0;46.993851622;6.93104046;100.0
Jean-Honoré Fragonard;France;"École royale des élèves protégés; formação com Jean-Siméon Chardin e François Boucher; Académie de France à Rome";"48.85666666666667; 41.908333333333";"2.352222222222222; 12.4825";Grasse;Saint-Roch, Paris;former 2nd arrondissement of Paris;male;https://en.wikipedia.org/wiki/Jean-Honor%C3%A9_Fragonard | https://www.britannica.com/biography/Jean-Honore-Fragonard;;;;;"outros; MASP";"Paris; Roma";"c.1747 em diante; 1756-1761";https://en.wikipedia.org/wiki/Jean-Honor%C3%A9_Fragonard;alta;43.658104821;6.924695789;100.0;48.8675087;2.3421607;91.56
Jean-Jacques François Coindet;Switzerland;formação de desenho topográfico e prática militar;;;Geneva;;Clarens;male;https://www.brasilianaiconografica.art.br/autores/19866/jean-jacques-francois-coindet;;A fonte aberta não traz nome de instituição formal específica.;;;"outros; Pinacoteca de São Paulo";"Suíça; França";;;baixa;46.212270935;6.126642752;100.0;-28.5143902;28.4203261;100.0
Jean-Marc Nattier;France;"formação com Marc Nattier; orientação de Jean Jouvenet";"; ";"; ";Paris;Church of Saint Eustache;Paris;male;https://en.wikipedia.org/wiki/Jean-Marc_Nattier | https://www.britannica.com/biography/Jean-Marc-Nattier;;Não foi identificada instituição formal única nas fontes consultadas.;;;"outros; MASP";Paris;;;media;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Jean-Michel Rolland;France;University Paris 3, Sorbonne Nouvelle;48.84488888888889;2.396988888888889;France;;;male;CV do artista / CYLAND;médio;"fonte biográfica identifica apenas o país; preenchimento mantido em nível de país.";FILE Festival;médio;FILE;;;;;;;;;;
Jeanette Nørgaard;Kingdom of Denmark;The Animation Workshop;56.4561;9.40611;Struer, Denmark;;;female;DAFilms;médio;;FILE Festival / Girls in Film;alto;FILE;;;;;56.545686523587;8.585619582004;100.0;;;
Jef Golyscheff;;;;;;;;;;;;;;;;;;;;;;;;
Jen Biddle;;"Rutgers University; Pennsylvania State University";"40.501666666667; 40.796111111111";"-74.448055555556; -77.862777777778";;;;female;University of Delaware;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Jenner Augusto;Brazil;;;;Aracaju;;Salvador;male;https://www.beirith.art.br/artista/Jenner-Augusto/130;;"estuda pintura com Horácio Hora; instituição formal não localizada";;;"MAC; outros; MAC USP";Laranjeiras, Sergipe, Brasil;c. 1940;https://www.beirith.art.br/artista/Jenner-Augusto/130;media;-10.9093538;-37.0743967;100.0;-12.9641527;-38.5058208;100.0
Jennifer Zheng;England;Kingston University;51.4035;-0.3039;Northern Ireland, UK;;;female;site oficial da artista | It’s Nice That;alto;;Jennifer Zheng site oficial / FILE Festival;media;FILE;;;;;54.609495197321;-6.692871347191;100.0;;;
Jenny Vogel;Germany;Hunter College (CUNY);40.768538;-73.964741;Germany;;;female;UMass Amherst / CV;alto;;The Sunview;media;FILE;;;;;51.110631049;10.392277932;100.0;;;
Jenova Chen;People's Republic of China;University of Southern California;34.021667;-118.285278;Shanghai;;;male;;;;;;FILE;;;;;;;;;;
Jeroen Cluckers;Belgium;KASK School of Arts Ghent;51.045519;3.718608;Hasselt, Belgium;;;male;AP University College;alto;;AP Hogeschool;alta;FILE;;;;;50.914955632;5.332553947;100.0;;;
Jerry Galle;Belgium;KASK School of Arts;51.045519;3.718608;Antwerp, Belgium;;;male;site oficial do artista;médio;;NW Aalst / KASK;alto;FILE;;;;;51.25942418;4.371799938;100.0;;;
Jerónimo Veroa;Argentina;;;;Necochea;;;male;;;;;;FILE;;;;;-38.5554187;-58.7258543;100.0;;;
Jesús Rafael Soto;Venezuela;Escuela de Artes Plásticas y Aplicadas;10.50611111111111;-66.91444444444444;Ciudad Bolívar;Montparnasse Cemetery;3rd arrondissement of Paris;male;https://www.guiadasartes.com.br/jesus-rafael-soto/obras-e-biografia;;;;;"MAC; outros; MAC USP";Caracas, Venezuela;1942–1947;https://www.guiadasartes.com.br/jesus-rafael-soto/obras-e-biografia;alta;8.1214634;-63.5769921;100.0;43.309522766634;5.370419622038;97.02
JF Malouin;Canada;École NAD-UQAC (Université du Québec à Chicoutimi);48.42;-71.0525;Canada;;;male;FILE Festival;médio;"FILE explicita “País de Origem: Canadá”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;;;;;;;
Jiahui Eva Gao;People's Republic of China;Academy of Fine Art in Guangzhou;23.09544444444445;113.2730277777778;China;;;female;BoardGameGeek;baixo;"FILE explicita “País de Origem: China”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;;;;;;;
Jim Leon;United Kingdom;Chouinard Art Institute;34.392919;-118.567812;Wolverhampton;;6th arrondissement of Lyon;male;fontes biográficas de referência;;instituição identificada em fontes sumárias;;;"MAC; outros; MAC USP";Los Angeles, EUA;s.d.;fontes biográficas de referência;baixa;52.586220279;-2.129909246;100.0;45.73398;4.82986;94.78
Jinan Zughayar;Palestine;American University of Sharjah;25.309722;55.490556;Palestine;;;;"FILE; Behance";médio;;;;FILE;;;;;31.912719787;35.204684057;100.0;;;
Jo-Ann Arosemena;Panama;"Pratt Institute; GIA";37;-120;David;;;female;site oficial da artista;alto;;;;FILE;;;;;8.416181394161;-82.387003546125;100.0;;;
Joan Miró;Spain;"Escola Superior d'Arts Industrials i Belles Arts (La Llotja); Escola de Comerç de Barcelona";"41.3822; 41.3825";"2.1825; 2.1769444444444";Barcelona;Montjuïc Cemetery;Palma;male;https://www.fmirobcn.org/en/foundation/joan-miro/;;A formação artística em La Llotja é a principal referência para o campo educacional.;;;"MAC; outros; MAC USP";"Barcelona, Espanha; Barcelona, Espanha";"até 1910; c. 1907–1910";https://www.fmirobcn.org/en/foundation/joan-miro/;alta;41.387917;2.1699187;100.0;39.5694515;2.6499457;100.0
Joan Ponç;Spain;"ateliê de Ramón Rogent; Academia de Artes Plásticas";"; ";"; ";Barcelona;;Saint-Paul-de-Vence;male;https://enciclopedia.itaucultural.org.br/pessoas/2127-joan-ponc;;A Enciclopédia Itaú Cultural explicita o início da formação artística em 1944 com Rogent e na Academia de Artes Plásticas.;;;"MAC; outros; MAC USP";"Barcelona, Espanha; Barcelona, Espanha";"1944; 1944";https://enciclopedia.itaucultural.org.br/pessoas/2127-joan-ponc;alta;41.387917;2.1699187;100.0;43.696875101;7.122200368;100.0
Joaquim Cândido Guilhobel;Kingdom of Portugal;Academia Imperial de Belas Artes;-22.91111111111111;-43.20555555555556;Lisbon;;;male;"https://pt.wikipedia.org/wiki/Joaquim_C%C3%A2ndido_Guilhobel | https://eviterbo.fcsh.unl.pt/wiki/Joaquim_C%C3%A2ndido_Guilhobel; https://pt.wikipedia.org/wiki/Joaquim_C%C3%A2ndido_Guilhobel";;Na Academia, fez o curso de arquitetura com Grandjean de Montigny.;;;"outros; Pinacoteca de São Paulo";Rio de Janeiro;matrícula em 1827;https://pt.wikipedia.org/wiki/Joaquim_C%C3%A2ndido_Guilhobel;alta;38.7070085;-9.1356407;100.0;;;
Joaquim da Rocha Ferreira;Brazil;"São Paulo School of Arts and Crafts; Liceu de Artes e Ofícios; Escola Nacional de Belas Artes; curso de aperfeiçoamento em mosaico, em Ravena";"-23.5331446; ; -22.8625055;";"-46.6267577; ; -43.2256622;";São Paulo;;São Paulo;male;https://pt.wikipedia.org/wiki/Joaquim_da_Rocha_Ferreira | https://www.catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Ferreira/;;"As fontes convergem em Liceu de Artes e Ofícios e Enba; o Catálogo das Artes acrescenta curso de aperfeiçoamento em mosaico em Ravena.";;;"outros; Museu Paulista";"São Paulo; Rio de Janeiro; Ravena";"sem datas exatas na fonte; curso de aperfeiçoamento posterior";https://www.catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Ferreira/;alta;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0
Joaquim da Rocha Fragoso;Brazil;"Academia Imperial de Belas Artes (Aiba); estudos com Debret, Félix Taunay, Manuel de Araújo Porto-Alegre e August Müller";-22.91111111111111;-43.20555555555556;Rio de Janeiro;;Rome;male;"https://enciclopedia.itaucultural.org.br/pessoas/6849-joaquim-da-rocha-fragoso | https://catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Fragoso/; https://catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Fragoso/ | https://enciclopedia.itaucultural.org.br/pessoas/6849-joaquim-da-rocha-fragoso";;;;;"outros; Museu Histórico Nacional";Rio de Janeiro;décadas de 1840-1850;https://enciclopedia.itaucultural.org.br/pessoas/6849-joaquim-da-rocha-fragoso | https://catalogodasartes.com.br/artista/Joaquim%20da%20Rocha%20Fragoso/;alta;-22.9014475;-43.1789159;100.0;41.8905568;12.4942679;100.0
Joaquim José da Natividade;Brazil;;;;;;;male;fontes biográficas de referência;;"não localizei escola formal; formação colonial/oficinal";;;"outros; Museu Regional São João Del Rey";Minas Gerais, Brasil;século XVIII;fontes biográficas de referência;baixa;;;;;;
Joaquim Lopes Figueira;;"Liceu de Artes e Ofícios de São Paulo; ateliê de Waldemar Belisário";-23.5331446;-46.6267577;;;;;https://enciclopedia.itaucultural.org.br/pessoas/6301-joaquim-figueira | https://front.master.enciclopedia-ic.org/pessoa21875/joaquim-figueira;;;;;"MAC; outros; MAC USP";São Paulo (SP);1919-1922;https://enciclopedia.itaucultural.org.br/pessoas/6301-joaquim-figueira | https://front.master.enciclopedia-ic.org/pessoa21875/joaquim-figueira;alta;;;;;;
Joaquim Manuel da Rocha;Kingdom of Portugal;Casa Pia / formação com João Glama;;;Lisbon;;Lisbon;male;fontes biográficas de referência;;"formação pouco documentada; registro mantido em nível conservador";;;"outros; Museu Nacional de Belas Artes";Lisboa, Portugal;s.d.;fontes biográficas de referência;baixa;38.7070085;-9.1356407;100.0;38.7070085;-9.1356407;100.0
Joaquín Agrasot y Juan;Spain;"Reial Acadèmia de Belles Arts de Sant Carles de València; Real Academia de Bellas Artes de San Carlos de Valencia";39.445;-0.389444;Orihuela;General Cemetery of Valencia;Valencia;male;https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Agrasot | https://www.museodelprado.es/coleccion/artista/agrasot-y-juan-joaquin/0f951cb3-68a8-4c8e-848f-6ace0a6a548f;;As fontes mencionam estudo com Francisco Martínez Yago.;;;"outros; Museu Histórico Nacional";"Orihuela; Valência; Roma";"1856 em diante; bolsa para Roma a partir de 1861";https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Agrasot | https://www.museodelprado.es/coleccion/artista/agrasot-y-juan-joaquin/0f951cb3-68a8-4c8e-848f-6ace0a6a548f;alta;38.084044;-0.945009;100.0;39.4702393;-0.3768049;100.0
