creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Joshua Reynolds;Kingdom of Great Britain;Hele's School> aprendiz com Thomas Hudson> estudos de aperfeiçoamento em Roma;41.893055555556;12.482777777778;Plympton;St Paul's Cathedral;London;male;https://en.wikipedia.org/wiki/Joshua_Reynolds | https://www.britannica.com/biography/Joshua-Reynolds;;;Wikidata;alta;MASP;Londres> Roma;1740-1743> 1749-1752;https://en.wikipedia.org/wiki/Joshua_Reynolds;alta;-34.961875705;138.557026373;100.0;51.50740836;-0.127698693;100.0;https://en.wikipedia.org/wiki/Joshua_Reynolds;https://en.wikipedia.org/wiki/London;https://en.wikipedia.org/wiki/London;"A fonte biográfica especifica Leicester Fields; mantido o nível de cidade para compatibilização do topônimo.";media
José Agostinho da Motta;;;;;Rio de Janeiro, RJ, Brasil;;Rio de Janeiro;male;;;;Enciclopédia Itaú Cultural;alta;;;;;;-22.9014475;-43.1789159;;-22.9111111111;-43.2055555556;100.0;https://enciclopedia.itaucultural.org.br/pessoas/6420-agostinho-da-motta | https://pt.wikipedia.org/wiki/Agostinho_Jos%C3%A9_da_Mota;https://latitude.to/map/br/brazil/cities/rio-de-janeiro;https://latitude.to/map/br/brazil/cities/rio-de-janeiro;"Registro do criador aparece invertido em relação à forma consagrada Agostinho José da Motta; local de morte é o Rio de Janeiro.";alta
José Antônio da Silva;Brazil;;;;Sales Oliveira;;São Paulo;male;Enciclopédia Itaú Cultural / fontes biográficas;;artista autodidata> sem escola formal localizada;Wikidata;alta;MAC USP;São José do Rio Preto, Brasil;c. 1940s;Enciclopédia Itaú Cultural / fontes biográficas;media;-20.7700793;-47.8407277;100.0;-23.5486657;-46.6382522;100.0;https://pt.wikipedia.org/wiki/Jos%C3%A9_Ant%C3%B4nio_da_Silva | https://www.portalartes.com.br/hist%C3%B3ria/biografias/pintores-modernos/jos%C3%A9-ant%C3%B4nio-da-silva.html;https://en.wikipedia.org/wiki/S%C3%A3o_Paulo;https://en.wikipedia.org/wiki/S%C3%A3o_Paulo;"Local de morte auditado; coordenadas mantidas para o município.";media
José Barreto de Menezes;;formação artística brasileira> instituição não identificada na fonte aberta consultada;> ;> ;;;;male;https://www.catalogodasartes.com.br/;;Sem base aberta robusta para nomear instituição com segurança.;;;Museu Histórico Nacional;Brasil;;;baixa;;;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
José Canella Filho;Brazil;;;;São Manuel;;São Paulo;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Canella_Filho;;A fonte informa que iniciou o estudo da pintura como autodidata e que nunca teve aulas.;Wikidata;alta;Museu Paulista;Formação autodidata;;;alta;-22.7478056;-48.5834111;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
José Carlos Martinat;Peru;Pontificia Universidad Católica del Perú;-12.06944444444444;-77.07944444444445;Lima, Peru;;;male;fontes biográficas de referência;;;Galeria Leme;media;MAC USP;Lima, Peru;1990s;fontes biográficas de referência;media;-12.04318;-77.02824;;;;;;;;"atividade recente documentada; sem evidência de óbito";
José Cláudio da Silva;Brazil;Escola de Belas Artes da Universidade Federal de Pernambuco;-8.0517328;-34.9507155;Ipojuca, PE, Brasil;;Recife;male;fontes biográficas de referência;;instituição identificada em biografias do artista;Arremate Arte;media;MAC USP;Recife, Brasil;c. 1960s;fontes biográficas de referência;media;-10.769946429;-53.073466889;;-8.0538888889;-34.8808333333;100.0;"Diario de Pernambuco; Prefeitura do Recife";Wikidata (Recife);Wikidata (Recife);"nota oficial sem local exato; jornal informa falecimento em Recife";media
José Constantino Benedito de Faria Barros;;;;;;;;;;;formação não localizada com segurança;;;Museu Regional São João Del Rey;;;;;;;;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;
José Correia de Lima;Brazil;Academia Imperial de Belas Artes (Aiba)> estudos com Debret e Grandjean de Montigny;-22.91111111111111;-43.20555555555556;Rio de Janeiro;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Correia_de_Lima | https://enciclopedia.itaucultural.org.br/pessoas/6718-correia-de-lima;;;Wikidata;alta;Museu Nacional de Belas Artes;Rio de Janeiro;1826-1827;https://pt.wikipedia.org/wiki/Jos%C3%A9_Correia_de_Lima | https://enciclopedia.itaucultural.org.br/pessoas/6718-correia-de-lima;alta;-22.9014475;-43.1789159;100.0;-22.9111111111;-43.2055555556;100.0;"Escritório de Arte; Catálogo das Artes";Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);fontes secundárias convergentes sobre o local de morte;media
José de Paula Barros;;aperfeiçoamento artístico em Paris (instituição não identificada na fonte);48.85666666666667;2.352222222222222;Fortaleza, CE, Brasil;;;male;https://agendamaranhao.com.br/2024/10/13/pintor-jose-de-paula-barros-paris-1907/;;A fonte aberta confirma estudos em Paris, mas não identifica a instituição.;Academia Maranhense de Letras;media;Museu Histórico Nacional;Paris;1907;https://agendamaranhao.com.br/2024/10/13/pintor-jose-de-paula-barros-paris-1907/;media;-3.7184625;-38.5416698;;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;
José Ferraz de Almeida Júnior;Brazil;Academia Imperial de Belas Artes> École Nationale Supérieure des Beaux-Arts;-22.91111111111111;-43.20555555555556;Itu;;Piracicaba;male;https://pt.wikipedia.org/wiki/Almeida_J%C3%BAnior;;;Wikidata;alta;Pinacoteca de São Paulo;Rio de Janeiro, Brasil> Paris, França;1869–1874> 1876–1882;https://pt.wikipedia.org/wiki/Almeida_J%C3%BAnior;alta;-23.265697;-47.299124;100.0;-22.724976;-47.6476;100.0;Enciclopédia Itaú Cultural;Wikidata: Piracicaba;Wikidata: Piracicaba;;alta
José Gamarra;Uruguay;School of Fine Arts of Montevideo> Museum of Modern Art in Rio de Janeiro> Institute of Fine Arts in Praia Vermelha;-34.90591666666667> -22.8625;-56.19131111111111> -43.223888888889;Tacuarembó;;;male;https://www.josegamarra.org/en/biography/;;em 1959 realiza estudos de gravura no Rio com bolsa Itamarati;Wikidata;alta;MAC USP;Montevidéu, Uruguai> Rio de Janeiro, Brasil> Rio de Janeiro, Brasil;s.d.> 1959> 1959;https://www.josegamarra.org/en/biography/;alta;-31.7305323;-55.9741865;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
José Hertzer;;formação artística brasileira> instituição não identificada na fonte aberta consultada;> ;> ;;;;male;https://www.catalogodasartes.com.br/;;Não localizei nesta rodada fonte aberta robusta com nome oficial de escola.;;;Museu Paulista;Brasil;;;baixa;;;;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;
José Jardim de Araújo;;formação artística brasileira> instituição não identificada na fonte aberta consultada;> ;> ;;;;male;https://www.catalogodasartes.com.br/;;Dados abertos insuficientes para nomear escola.;;;Museu Histórico Nacional;Brasil;;;baixa;;;;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;
José Joaquim Monteiro França;Brazil;Academia Imperial de Belas Artes (Aiba);-22.91111111111111;-43.20555555555556;Pindamonhangaba;;São Paulo;male;https://enciclopedia.itaucultural.org.br/;;Sem cronologia detalhada na fonte aberta localizada.;Wikidata;alta;Museu Paulista;Rio de Janeiro;;;baixa;-22.923487;-45.459842;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
José Júlio de Sousa Pinto;Portugal;Escola Superior de Belas-Artes do Porto> Academia Portuense de Belas Artes> École des Beaux-Arts;41.15> 41.15> 48.85666666666667;-8.610833333333334> -8.610833333333334> 2.333611111111112;Angra do Heroísmo;;Pont-Scorff;male;fontes biográficas de referência;;;Wikidata;alta;Museu Nacional de Belas Artes;Porto, Portugal> Paris, França;1870s> 1880–1883;fontes biográficas de referência;media;38.708207269709;-27.248750050772;100.0;47.835447703;-3.399192664;100.0;"Wikipedia; e-cultura";Wikidata: Pont-Scorff;Wikidata: Pont-Scorff;local de morte confirmado por fontes secundárias convergentes;media
José Leandro de Carvalho;Kingdom of Portugal;estudos com Leandro Joaquim e Raimundo da Costa e Silva;-22.91111111111111;-43.20555555555556;São João de Itaboraí, RJ, Brasil;;Campos dos Goytacazes;male;https://enciclopedia.itaucultural.org.br/pessoas/7180-jose-leandro-de-carvalho | https://www.escritoriodearte.com/artista/jose-leandro-de-carvalho;;A formação recuperada é por mestres, não por academia formal.;Enciclopédia Itaú Cultural;alta;Museu Histórico Nacional;Rio de Janeiro;;;alta;-10.769946429;-53.073466889;;-21.75227;-41.33044;100.0;Enciclopédia Itaú Cultural;https://www.wikidata.org/wiki/Q689868;https://www.wikidata.org/wiki/Q689868;corrigido de Rio de Janeiro para Campos dos Goytacazes após auditoria da fonte biográfica;alta
José Luis Cuevas;Mexico;Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda> Institución de Enseñanza Universitaria;19.35655>;-99.14015>;Mexico City;;Mexico City;male;https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas> https://www.annexgalleries.com/artists/biography/482;;Estudos interrompidos por doença> data exata da segunda instituição não foi localizada nesta passada.;Wikidata;alta;MAC USP;Cidade do México, México> Cidade do México, México;c. 1944–1946> s.d.;https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas;media;19.430457906;-99.141684761;100.0;19.430457906;-99.141684761;100.0;Gobierno de México;Wikidata (Mexico City);Wikidata (Mexico City);;alta
José Malhoa;Portugal;Academia Real de Belas-Artes de Lisboa;38.708042;-9.139016;Caldas da Rainha;Prazeres Cemetery;Figueiró dos Vinhos;male;fontes biográficas de referência;;datas aproximadas;Wikidata;alta;MASP;Lisboa, Portugal;1870s;fontes biográficas de referência;media;39.40752523853;-9.088115679114;100.0;39.925211102631;-8.282068285049;100.0;VisitPortugal;Wikidata: Figueiró dos Vinhos;Wikidata: Figueiró dos Vinhos;;alta
José Maria da Silva Paranhos;;Academia Real dos Guardas Marinhas> Real Academia de Artilharia, Fortificação e Desenho> Escola Militar;38.68027778> -22.91111111111111;-9.15833333> -43.20555555555556;Salvador, BA, Brasil;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_da_Silva_Paranhos;;;FUNAG;alta;Museu Paulista;Rio de Janeiro;1841> formatura em 1843;https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_da_Silva_Paranhos;alta;-12.9641527;-38.5058208;;-22.9111111111;-43.2055555556;100.0;FUNAG;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
José Maria de Medeiros;Brazil;Liceu de Artes e Ofícios> Academia Imperial de Belas Artes;-22.91111111111111;-43.20555555555556;Açores, Portugal;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_de_Medeiros;;A Enciclopédia Itaú Cultural também registra Antônio de Souza Lobo como mestre.;Enciclopédia Itaú Cultural;alta;Museu Nacional de Belas Artes;Rio de Janeiro;1867> 1868;https://pt.wikipedia.org/wiki/Jos%C3%A9_Maria_de_Medeiros;alta;37.7412488;-25.6755944;;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
José Maria dos Reis Júnior;Brazil;Escola Nacional de Belas Artes (Enba);-22.90879805555556;-43.17573111111111;Uberaba, MG, Brasil;;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/7497-reis-junior;;O verbete também informa estudos de desenho com Modesto Brocos e pintura com Rodolfo Amoedo.;Enciclopédia Itaú Cultural;alta;Museu Histórico Nacional;Rio de Janeiro;1920-1923;https://enciclopedia.itaucultural.org.br/pessoas/7497-reis-junior;alta;-10.769946429;-53.073466889;;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
José Mauro de Vasconcelos;Brazil;Faculdade de Medicina da capital potiguar> bolsa de estudos na Espanha (instituição não identificada na fonte);-5.795;-35.208888888889;Rio de Janeiro;;São Paulo;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Mauro_de_Vasconcelos | https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334;;A fonte não nomeia a faculdade de medicina nem a instituição espanhola> deixado como descrição verificável.;Wikidata;alta;MAC USP;Natal (RN)> Espanha;sem data precisa> permanência de cerca de 1 semana na Espanha;https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334;baixa;-22.9014475;-43.1789159;100.0;-23.5503944444;-46.6339472222;100.0;"Prefeitura de São Paulo; Wikipedia";Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);fonte institucional confirma falecimento em São Paulo, sem detalhamento intramunicipal;media
José Pancetti;Brazil;Núcleo Bernardelli;-22.8625055;-43.2256622;Campinas;;Rio de Janeiro;male;Itaú Cultural> MAM Rio;;Aprendizado inicial autodidata> em 1933 ingressa no Núcleo Bernardelli e recebe orientação de Bruno Lechowski.;Wikidata;alta;MAC USP;Rio de Janeiro, Brasil;1933;Itaú Cultural;alta;-22.9073702;-47.0628996;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
José Pedro Costigliolo;Uruguay;;;;Montevideo;;Montevideo;male;;;;https://www.wikidata.org/wiki/Q20431755;alta;;;;;alta;-34.9055557;-56.1852505;100.0;-34.9058333333;-56.1913888889;100.0;Museo Nacional de Artes Visuales;Wikidata: Montevideo;Wikidata: Montevideo;;alta
José Pinelo Llull;Spain;Escuela de Bellas Artes de Sevilla> estudos com Eduardo Cano> estudos com Villegas em Roma;37.3877> 41.893055555556;-5.99106> 12.482777777778;Cádiz Province;;Seville;male;https://es.wikipedia.org/wiki/Jos%C3%A9_Pinelo_Llull | https://es.hispanopedia.com/wiki/Jos%C3%A9_Pinelo_Llull;;;Wikidata;alta;Museu Histórico Nacional;Sevilha> Roma;até 1879> depois de 1879;https://es.wikipedia.org/wiki/Jos%C3%A9_Pinelo_Llull | https://es.hispanopedia.com/wiki/Jos%C3%A9_Pinelo_Llull;alta;11.4;122.56667;84.82;37.38264;-5.9962951;100.0;"Wikipedia; Wikidata";Wikidata: Seville;Wikidata: Seville;;media
José Roberto Aguilar;Brazil;;;;São Paulo;;;male;https://enciclopedia.itaucultural.org.br/pessoas/1119-jose-roberto-aguilar;;artista autodidata> sem escola formal localizada;Wikidata;alta;MAC USP;São Paulo, Brasil;;;alta;-23.5486657;-46.6382522;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
José Rodrigues;Kingdom of Portugal;Escola Superior de Belas-Artes do Porto;41.15;-8.610833333333334;Lisbon;;;male;fontes biográficas de referência;;instituição identificada em biografias sumárias;Wikidata;alta;Museu Paulista;Porto, Portugal;s.d.;fontes biográficas de referência;media;38.7070085;-9.1356407;100.0;;;;;;;"homônimo não desambiguado; dado prévio de óbito removido por conflito com a identificação biográfica do registro";
José Simeão de Oliveira;Brazil;Escola Militar da Praia Vermelha;-22.9560798;-43.1662774;Rio Grande;;Nova Iorque;male;https://pt.wikipedia.org/wiki/Jos%C3%A9_Sime%C3%A3o_de_Oliveira;;A fonte documenta formação militar e em ciências físicas e matemáticas.;Wikidata;alta;Museu Paulista;Rio de Janeiro;ingresso em 1855;https://pt.wikipedia.org/wiki/Jos%C3%A9_Sime%C3%A3o_de_Oliveira;alta;25.95619;-97.14525;100.0;40.71427;-74.00597;100.0;"MAPA; Wikipedia";Wikidata: New York City;Wikidata: New York City;;media
José Spaniol;Brazil;European Ceramics Work Center> Fundação Armando Álvares Penteado (FAAP)> Academia de Artes de Düsseldorf;51.5833> 51.23054;5.2> 6.77365;São Luiz Gonzaga;;;male;https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol;;;Wikidata;alta;MAC USP;São Paulo, Brasil> Düsseldorf, Alemanha;1978–1983> 1990–1993;https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol;alta;-28.4078903;-54.9614629;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
José Wasth Rodrigues;Brazil;Académie Julian> Escola Superior de Belas-Artes do Porto;41.15;-8.610833333333334;São Paulo;;Rio de Janeiro;male;fontes biográficas de referência;;instituição identificada em biografias sumárias;Wikidata;alta;;Porto, Portugal;s.d.;fontes biográficas de referência;media;-23.5486657;-46.6382522;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
João Abel Manta;Portugal;University of Lisbon> Escola Superior de Belas-Artes de Lisboa;38.708042;-9.139016;Lisbon;;Lisbon;male;biografia institucional do artista> fontes de referência;;datas aproximadas;Wikidata;alta;MAC USP;Lisboa, Portugal;c. 1940s–1950s;biografia institucional do artista> fontes de referência;media;38.7070085;-9.1356407;100.0;38.7070085;-9.1356407;100.0;"Lusa; Jornal de Notícias";Wikidata: Lisbon;Wikidata: Lisbon;"falecimento noticiado em maio de 2026; cidade confirmada por fontes de imprensa portuguesas";media
João Ayres;;Escola de Belas Artes de Lisboa> Escola de Belas Artes do Porto;38.708042> 41.15;-9.139016> -8.610833333333334;Lisboa, Portugal;;Sintra;male;https://www.cps.pt/pt/artistas/joao-ayres;;A fonte fala em estudos de arquitetura nas duas escolas.;Artistas CPS;media;MAC USP;Lisboa> Porto;antes de 1946;https://www.cps.pt/pt/artistas/joao-ayres;alta;38.7070085;-9.1356407;;38.7984769444;-9.3880861111;100.0;"Artistas CPS; Assembleia Municipal de Lisboa";https://www.wikidata.org/wiki/Q33716124;https://www.wikidata.org/wiki/Q33716124;"fontes indicam permanência em Sintra até a morte em 2001; topônimo normalizado para a sede municipal";media
João Batista Bordon;Brazil;Escola Nacional de Belas Artes (Enba);-22.90879805555556;-43.17573111111111;Rio de Janeiro, RJ, Brasil;;Madrid;male;https://enciclopedia.itaucultural.org.br/pessoas/6646-joao-batista-bordon;;A fonte indica condição de aluno livre e mestres Baptista da Costa e Zeferino da Costa.;Enciclopédia Itaú Cultural;alta;Museu Histórico Nacional;Rio de Janeiro;meados de 1900> prêmio de viagem em 1915;https://enciclopedia.itaucultural.org.br/pessoas/6646-joao-batista-bordon;alta;-22.9014475;-43.1789159;;40.4166909;-3.7003454;100.0;Enciclopédia Itaú Cultural;https://www.wikidata.org/wiki/Q2807;https://www.wikidata.org/wiki/Q2807;;alta
João Batista da Costa;Brazil;Académie Julian> Asilo dos Meninos Desvalidos> Academia Imperial de Belas Artes> Academia Julian;-22.91111111111111> -22.91111111111111;-43.20555555555556> -43.20555555555556;Itaguaí;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jo%C3%A3o_Batista_da_Costa | https://www.guiadasartes.com.br/baptista-da-costa/obras-e-biografia;;;Wikidata;alta;Pinacoteca de São Paulo;Rio de Janeiro> Paris;1877> 1885> 1896;https://pt.wikipedia.org/wiki/Jo%C3%A3o_Batista_da_Costa | https://www.guiadasartes.com.br/baptista-da-costa/obras-e-biografia;alta;-22.866538;-43.777224;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
João Calixto;Brazil;Escola de Belas Artes de São Paulo> curso de história da estética no Museu de Arte de São Paulo> curso de serigrafia no Sesi;;;São Paulo;;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/2001-joao-calixto;alta;;https://enciclopedia.itaucultural.org.br/pessoas/2001-joao-calixto;alta;;São Paulo;1947–1952> 1961> 1969;https://enciclopedia.itaucultural.org.br/pessoas/2001-joao-calixto;alta;-23.5486657;-46.6382522;100.0;-23.5503944444;-46.6339472222;100.0;"MAC USP; Enciclopédia Itaú Cultural";Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
João Câmara Filho;Brazil;Federal University of Pernambuco> curso livre da Escola de Belas Artes da Universidade Federal de Pernambuco;-8.0517328;-34.9507155;João Pessoa;;;male;https://acervo.macrs.rs.gov.br/artistas-macrs/joao-camara/;;;Wikidata;alta;MAC USP;Recife, Brasil;1960–1963;https://acervo.macrs.rs.gov.br/artistas-macrs/joao-camara/;alta;-7.1152478;-34.8610531;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
João Francisco Lopes Rodrigues;Brazil;Aula Pública de Desenho da Bahia> estudos com José Rodrigues Nunes> assistência a Teófilo de Jesus;-12.98305555555556;-38.49277777777777;Salvador;;Salvador;male;https://pt.wikipedia.org/wiki/Jo%C3%A3o_Francisco_Lopes_Rodrigues | https://enciclopedia.itaucultural.org.br/pessoas/7099-joao-francisco-lopes-rodrigues;;A formação aparece pela Aula Pública e por mestres, sem cronologia fechada na fonte aberta.;Wikidata;alta;Museu Histórico Nacional;Salvador;;;alta;-12.9641527;-38.5058208;100.0;-12.9641527;-38.5058208;100.0;Galeria Brasiliana;Wikidata: Salvador;Wikidata: Salvador;;media
João Garboggni Quaglia;;Liceu de Artes e Ofícios de São Paulo;-23.5331446;-46.6267577;Salvador, BA, Brasil;;São João del-Rei;male;fontes biográficas de referência;;instituição identificada> datas aproximadas;Enciclopédia Itaú Cultural;alta;MAC USP;São Paulo, Brasil;c. 1920s;fontes biográficas de referência;media;-12.9641527;-38.5058208;;-21.1358333333;-44.2619444444;100.0;Arremate Arte;https://www.wikidata.org/wiki/Q740965;https://www.wikidata.org/wiki/Q740965;local de morte sustentado por fonte secundária especializada em mercado de arte;media
João Lopes Maciel (atribuição);;;;;;;;;;;autoria atribuída/incerta> formação não localizada com segurança;;;Museu da Inconfidência;;;;;;;;;;;;;;"registro de atribuição; local de morte não preenchido sem autoria seguramente estabelecida";
João Marcos Maciel;Brazil;Universidade de Cuiabá (UNIC);-15.624294;-56.087167;Belo Horizonte, Minas Gerais, Brazil;;;male;ArtStation (resume);médio;;FILE Festival;alta;FILE;;;;;-19.9181771;-43.9370534;100.0;;;;;;;sem evidência biográfica suficiente para localizar óbito com segurança;
João Nepomuceno Correia e Castro (atribuição);;;;;;;;;;;autoria atribuída/incerta> formação não localizada com segurança;;;Museu da Inconfidência;;;;;;;;;;;;;;"registro de atribuição; local de morte não preenchido sem autoria seguramente estabelecida";
João Timóteo da Costa;Brazil;Escola Nacional de Belas Artes (Enba);-22.90879805555556;-43.17573111111111;Rio de Janeiro;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Jo%C3%A3o_Tim%C3%B3teo_da_Costa | https://enciclopedia.itaucultural.org.br/pessoas/7117-joao-timotheo-da-costa;;A fonte cita estudos com Daniel Bérard, Zeferino da Costa e Rodolfo Amoedo.;Wikidata;alta;Museu Histórico Nacional;Rio de Janeiro;por volta de 1894 em diante;https://pt.wikipedia.org/wiki/Jo%C3%A3o_Tim%C3%B3teo_da_Costa;alta;-22.9014475;-43.1789159;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
João Zeferino da Costa;Brazil;Federal University of Rio de Janeiro> Academia Imperial de Belas Artes> Accademia di San Luca;-22.91111111111111> 41.90166;-43.20555555555556> 12.483586;Rio de Janeiro;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Zeferino_da_Costa;;;Wikidata;alta;Museu Nacional de Belas Artes;Rio de Janeiro, Brasil> Roma, Itália;1857–1868> 1869–1877;https://pt.wikipedia.org/wiki/Zeferino_da_Costa;alta;-22.9014475;-43.1789159;100.0;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
Joãozinho;;;;;;;;;;;identificação incompleta> não foi possível desambiguar com segurança;;;MAC USP;;;;;;;;;;;;;;"identificação incompleta; não foi possível desambiguar o artista com segurança";
Joéser Alvarez;Brazil;UNIR – Universidade Federal de Rondônia> UNINTES – Faculdade Interamericana de Porto Velho> SENAC, Polo Cuiabá;-8.8356> -8.7619444444444> -15.595833333333;-63.9389> -63.903888888889> -56.096944444444;Rio de Janeiro, Rio de Janeiro, Brazil;;;male;PAVIC;médio;;FILE Festival;alta;FILE;;;;;-22.9014475;-43.1789159;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
jtwine;Germany;Siemens Business School> Kunstschule Rödel in Mannheim> Universität der Künste Berlin;49.48777777777778> 52.50916666666667;8.466111111111111> 13.32694444444444;Germany;;;male;galeria do artista | FILE Festival;médio;Biografia do FILE explicita que o artista nasceu na Alemanha.;FILE Festival (biografia do artista);alta;FILE;;;;alta;51.110631049;10.392277932;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Juan Carlos Vasquez;Colombia;Sibelius Academy> Aalto University> University of Virginia;60.17166666666667> 60.186111> 38.035555555555554;24.9325> 24.828611> -78.50333333333333;Santiago de Cali, Colombia;;;male;site oficial do artista;alto;;Wikipedia;médio;FILE;;;;;3.4529814;-76.5187809;100.0;;;;;;;"atividade recente documentada; sem evidência de óbito";
Juan José Balzi;Argentina;Brera Academy> Academia Nacional de Bellas Artes de Buenos Aires;-34.58260085251006;-58.40162870493147;Buenos Aires;Araçá Cemetery;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/9391-balzi | https://pt.wikipedia.org/wiki/Juan_Jos%C3%A9_Balzi;;As fontes indicam formação em desenho, pintura e publicidade artística.;Wikidata;alta;MAC USP;Buenos Aires (Argentina);1948-1956;https://pt.wikipedia.org/wiki/Juan_Jos%C3%A9_Balzi;alta;-34.6090264;-58.3732215;100.0;-23.5503944444;-46.6339472222;100.0;"MAC USP; Wikipedia";Wikidata: São Paulo (Q174);Wikidata: São Paulo (Q174);;alta
Juan Langlois;Chile;Pontifical Catholic University of Valparaíso> Escuela de Bellas Artes de la Universidad de Chile;-33.44454888888889;-70.65095388888889;Santiago;Parque del Recuerdo Cemetery;Santiago;male;fontes biográficas de referência;;instituição identificada em biografias sumárias;Wikidata;alta;MAC USP;Santiago, Chile;s.d.;fontes biográficas de referência;baixa;-33.4459946;-70.6670569;100.0;-33.4459946;-70.6670569;100.0;Museo Nacional de Bellas Artes (Chile);Wikidata: Santiago;Wikidata: Santiago;"registro corresponde a Juan Pablo Langlois Vicuña; nome abreviado no CSV";media
Juan León Pallière;Brazil;Escola de Picot, em Paris> Imperial Academia de Belas Artes do Rio de Janeiro> Academia Francesa, em Roma;48.85666666666667> -22.91111111111111> 41.90827;2.352222222222222> -43.20555555555556> 12.48252;Rio de Janeiro;;Lorris;male;https://pt.wikipedia.org/wiki/Jean_Leon_Palli%C3%A8re | https://pt.wiki34.com/wiki/Juan_Le%C3%B3n_Palli%C3%A8re;;;Wikidata;alta;Museu Nacional de Belas Artes;Paris> Rio de Janeiro> Roma;até 1855> viagem/continuação de estudos a partir de 1850;https://pt.wiki34.com/wiki/Juan_Le%C3%B3n_Palli%C3%A8re;media;-22.9014475;-43.1789159;100.0;47.883331;2.51667;100.0;Wikipedia;Wikidata: Lorris;Wikidata: Lorris;;media
